 id |        channel        |  subsystem  | num_subchannels |                            location                            |                                                   description                                                    | start_iov | stop_iov | isValid 
 20 | mscb319_PT1000_P4     | Environment |               2 | Experimental hall, inside ring, rightmost slot in tracker rack | mscb319 PT1000 RTD card to measure vacuum chamber temperatures                                                   |           |          | t
 19 | mscb319_PT1000_P3     | Environment |               2 | Experimental hall, inside ring, rightmost slot in tracker rack | mscb319 PT1000 RTD card to measure vacuum chamber temperatures                                                   |           |          | t
 18 | mscb319_PT1000_P2     | Environment |               2 | Experimental hall, inside ring, rightmost slot in tracker rack | mscb319 PT1000 RTD card to measure vacuum chamber temperatures                                                   |           |          | t
 16 | mscb319_PT1000_P0     | Environment |               2 | Experimental hall, inside ring, rightmost slot in tracker rack | mscb319 PT1000 RTD card to measure vacuum chamber temperatures                                                   |           |          | t
 17 | mscb319_PT1000_P1     | Environment |               2 | Experimental hall, inside ring, rightmost slot in tracker rack | mscb319 PT1000 RTD card to measure vacuum chamber temperatures                                                   |           |          | t
 21 | mscb323_ADC_P0        | Environment |               8 | Experimental hall, inside ring, leftmost slot in tracker rack  | mscb323 ADC card, spare channels                                                                                 |           |          | t
 23 | mscb323_Temp_P2       | Environment |               8 | Experimental hall, inside ring, leftmost slot in tracker rack  | mscb323 AD590 temp card measuring magnet sector E and G temperatures                                             |           |          | t
 47 | uTCASC6               | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 6                                                                                 |           |          | t
 48 | uTCASC7               | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 7                                                                                 |           |          | t
 49 | uTCASC8               | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 8                                                                                 |           |          | t
 50 | uTCASC9               | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 9                                                                                 |           |          | t
 51 | uTCASC10              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 10                                                                                |           |          | t
 52 | uTCASC11              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 11                                                                                |           |          | t
 53 | uTCASC12              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 12                                                                                |           |          | t
 54 | uTCASC13              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 13                                                                                |           |          | t
 55 | uTCASC14              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 14                                                                                |           |          | t
 56 | uTCASC15              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 15                                                                                |           |          | t
 57 | uTCASC16              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 16                                                                                |           |          | t
 58 | uTCASC17              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 17                                                                                |           |          | t
 59 | uTCASC18              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 18                                                                                |           |          | t
 60 | uTCASC19              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 19                                                                                |           |          | t
 61 | uTCASC20              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 20                                                                                |           |          | t
 62 | uTCASC21              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 21                                                                                |           |          | t
 63 | uTCASC22              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 22                                                                                |           |          | t
 64 | uTCASC23              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 23                                                                                |           |          | t
 65 | uTCASC24              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 24                                                                                |           |          | t
 66 | uTCASC25              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 25                                                                                |           |          | t
 67 | uTCASC26              | uTCA        |             183 | Computer room                                                  | uCTA monitoring data for crate 26                                                                                |           |          | t
(62 rows)

